7.392068481445312500e+01,1.540112972259521484e+01
7.801551055908203125e+01,1.625026130676269531e+01
9.231620025634765625e+01,1.918630027770996094e+01
1.082152252197265625e+02,2.245151710510253906e+01
1.253266372680664062e+02,2.592685890197753906e+01
1.432629547119140625e+02,2.956688880920410156e+01
1.612867431640625000e+02,3.322650146484375000e+01
1.803924407958984375e+02,3.711860656738281250e+01
2.015849609375000000e+02,4.145598602294921875e+01
2.249503784179687500e+02,4.624730300903320312e+01
2.483586578369140625e+02,5.104761886596679688e+01
2.717669982910156250e+02,5.584793853759765625e+01
2.951752929687500000e+02,6.064826583862304688e+01
3.185987854003906250e+02,6.545202636718750000e+01
3.420289001464843750e+02,7.025733184814453125e+01
3.654590148925781250e+02,7.506264495849609375e+01
3.888891296386718750e+02,7.986793518066406250e+01
4.123192443847656250e+02,8.467324829101562500e+01
4.357525329589843750e+02,8.947953796386718750e+01
4.592027282714843750e+02,9.429096984863281250e+01
